"Method","Period","Actual","Forecast","Forecast_Error","Applicable","Note"
"Naïve Forecasting","2024-05",-0.91,2.71,-3.62,TRUE,"Uses the most recent observed value as the one-step-ahead forecast."
"Naïve Forecasting","2024-06",1.95,-0.91,2.86,TRUE,"Uses the most recent observed value as the one-step-ahead forecast."
"Naïve Forecasting","2024-07",-1.74,1.95,-3.69,TRUE,"Uses the most recent observed value as the one-step-ahead forecast."
"Naïve Forecasting","2024-08",-1.56,-1.74,0.18,TRUE,"Uses the most recent observed value as the one-step-ahead forecast."
"Naïve Forecasting","2024-09",2,-1.56,3.56,TRUE,"Uses the most recent observed value as the one-step-ahead forecast."
"Naïve Forecasting","2024-10",5.03,2,3.03,TRUE,"Uses the most recent observed value as the one-step-ahead forecast."
"Naïve Forecasting","2024-11",8.88,5.03,3.85,TRUE,"Uses the most recent observed value as the one-step-ahead forecast."
"Naïve Forecasting","2024-12",-0.39,8.88,-9.27,TRUE,"Uses the most recent observed value as the one-step-ahead forecast."
"Naïve Forecasting","2025-01",2.74,-0.39,3.13,TRUE,"Uses the most recent observed value as the one-step-ahead forecast."
"Naïve Forecasting","2025-02",2.7,2.74,-0.04,TRUE,"Uses the most recent observed value as the one-step-ahead forecast."
"Naïve Forecasting","2025-03",6.91,2.7,4.21,TRUE,"Uses the most recent observed value as the one-step-ahead forecast."
"Naïve Forecasting","2025-04",-0.45,6.91,-7.36,TRUE,"Uses the most recent observed value as the one-step-ahead forecast."
"Naïve Forecasting","2025-05",0.23,-0.45,0.68,TRUE,"Uses the most recent observed value as the one-step-ahead forecast."
"Naïve Forecasting","2025-06",18.82,0.23,18.59,TRUE,"Uses the most recent observed value as the one-step-ahead forecast."
"Naïve Forecasting","2025-07",-5.66,18.82,-24.48,TRUE,"Uses the most recent observed value as the one-step-ahead forecast."
"Naïve Forecasting","2025-08",-3.45,-5.66,2.21,TRUE,"Uses the most recent observed value as the one-step-ahead forecast."
"Naïve Forecasting","2025-09",5.8,-3.45,9.25,TRUE,"Uses the most recent observed value as the one-step-ahead forecast."
"Naïve Forecasting","2025-10",4,5.8,-1.8,TRUE,"Uses the most recent observed value as the one-step-ahead forecast."
"Naïve Forecasting","2025-11",-1.56,4,-5.56,TRUE,"Uses the most recent observed value as the one-step-ahead forecast."
"Naïve Forecasting","2025-12",3.06,-1.56,4.62,TRUE,"Uses the most recent observed value as the one-step-ahead forecast."
"Naïve Forecasting","2026-01",8.46,3.06,5.4,TRUE,"Uses the most recent observed value as the one-step-ahead forecast."
"Naïve Forecasting","2026-02",0.21,8.46,-8.25,TRUE,"Uses the most recent observed value as the one-step-ahead forecast."
"Naïve Forecasting","2026-03",3.85,0.21,3.64,TRUE,"Uses the most recent observed value as the one-step-ahead forecast."
"Naïve Forecasting","2026-04",4.26,3.85,0.41,TRUE,"Uses the most recent observed value as the one-step-ahead forecast."
"Moving Average","2024-05",-0.91,4.0733,-4.9833,TRUE,"Selected window: 12 months, based on lowest holdout MAD."
"Moving Average","2024-06",1.95,4.0975,-2.1475,TRUE,"Selected window: 12 months, based on lowest holdout MAD."
"Moving Average","2024-07",-1.74,3.7317,-5.4717,TRUE,"Selected window: 12 months, based on lowest holdout MAD."
"Moving Average","2024-08",-1.56,2.9475,-4.5075,TRUE,"Selected window: 12 months, based on lowest holdout MAD."
"Moving Average","2024-09",2,2.39,-0.39,TRUE,"Selected window: 12 months, based on lowest holdout MAD."
"Moving Average","2024-10",5.03,2.3242,2.7058,TRUE,"Selected window: 12 months, based on lowest holdout MAD."
"Moving Average","2024-11",8.88,2.6067,6.2733,TRUE,"Selected window: 12 months, based on lowest holdout MAD."
"Moving Average","2024-12",-0.39,3.3142,-3.7042,TRUE,"Selected window: 12 months, based on lowest holdout MAD."
"Moving Average","2025-01",2.74,2.7142,0.0258,TRUE,"Selected window: 12 months, based on lowest holdout MAD."
"Moving Average","2025-02",2.7,2.6217,0.0783,TRUE,"Selected window: 12 months, based on lowest holdout MAD."
"Moving Average","2025-03",6.91,2.2483,4.6617,TRUE,"Selected window: 12 months, based on lowest holdout MAD."
"Moving Average","2025-04",-0.45,2.36,-2.81,TRUE,"Selected window: 12 months, based on lowest holdout MAD."
"Moving Average","2025-05",0.23,2.0967,-1.8667,TRUE,"Selected window: 12 months, based on lowest holdout MAD."
"Moving Average","2025-06",18.82,2.1917,16.6283,TRUE,"Selected window: 12 months, based on lowest holdout MAD."
"Moving Average","2025-07",-5.66,3.5975,-9.2575,TRUE,"Selected window: 12 months, based on lowest holdout MAD."
"Moving Average","2025-08",-3.45,3.2708,-6.7208,TRUE,"Selected window: 12 months, based on lowest holdout MAD."
"Moving Average","2025-09",5.8,3.1133,2.6867,TRUE,"Selected window: 12 months, based on lowest holdout MAD."
"Moving Average","2025-10",4,3.43,0.57,TRUE,"Selected window: 12 months, based on lowest holdout MAD."
"Moving Average","2025-11",-1.56,3.3442,-4.9042,TRUE,"Selected window: 12 months, based on lowest holdout MAD."
"Moving Average","2025-12",3.06,2.4742,0.5858,TRUE,"Selected window: 12 months, based on lowest holdout MAD."
"Moving Average","2026-01",8.46,2.7617,5.6983,TRUE,"Selected window: 12 months, based on lowest holdout MAD."
"Moving Average","2026-02",0.21,3.2383,-3.0283,TRUE,"Selected window: 12 months, based on lowest holdout MAD."
"Moving Average","2026-03",3.85,3.0308,0.8192,TRUE,"Selected window: 12 months, based on lowest holdout MAD."
"Moving Average","2026-04",4.26,2.7758,1.4842,TRUE,"Selected window: 12 months, based on lowest holdout MAD."
"Weighted Moving Average","2024-05",-0.91,4.462,-5.372,TRUE,"Weights favor recent observations: 0.5, 0.3, 0.2 ."
"Weighted Moving Average","2024-06",1.95,1.472,0.478,TRUE,"Weights favor recent observations: 0.5, 0.3, 0.2 ."
"Weighted Moving Average","2024-07",-1.74,1.244,-2.984,TRUE,"Weights favor recent observations: 0.5, 0.3, 0.2 ."
"Weighted Moving Average","2024-08",-1.56,-0.467,-1.093,TRUE,"Weights favor recent observations: 0.5, 0.3, 0.2 ."
"Weighted Moving Average","2024-09",2,-0.912,2.912,TRUE,"Weights favor recent observations: 0.5, 0.3, 0.2 ."
"Weighted Moving Average","2024-10",5.03,0.184,4.846,TRUE,"Weights favor recent observations: 0.5, 0.3, 0.2 ."
"Weighted Moving Average","2024-11",8.88,2.803,6.077,TRUE,"Weights favor recent observations: 0.5, 0.3, 0.2 ."
"Weighted Moving Average","2024-12",-0.39,6.349,-6.739,TRUE,"Weights favor recent observations: 0.5, 0.3, 0.2 ."
"Weighted Moving Average","2025-01",2.74,3.475,-0.735,TRUE,"Weights favor recent observations: 0.5, 0.3, 0.2 ."
"Weighted Moving Average","2025-02",2.7,3.029,-0.329,TRUE,"Weights favor recent observations: 0.5, 0.3, 0.2 ."
"Weighted Moving Average","2025-03",6.91,2.094,4.816,TRUE,"Weights favor recent observations: 0.5, 0.3, 0.2 ."
"Weighted Moving Average","2025-04",-0.45,4.813,-5.263,TRUE,"Weights favor recent observations: 0.5, 0.3, 0.2 ."
"Weighted Moving Average","2025-05",0.23,2.388,-2.158,TRUE,"Weights favor recent observations: 0.5, 0.3, 0.2 ."
"Weighted Moving Average","2025-06",18.82,1.362,17.458,TRUE,"Weights favor recent observations: 0.5, 0.3, 0.2 ."
"Weighted Moving Average","2025-07",-5.66,9.389,-15.049,TRUE,"Weights favor recent observations: 0.5, 0.3, 0.2 ."
"Weighted Moving Average","2025-08",-3.45,2.862,-6.312,TRUE,"Weights favor recent observations: 0.5, 0.3, 0.2 ."
"Weighted Moving Average","2025-09",5.8,0.341,5.459,TRUE,"Weights favor recent observations: 0.5, 0.3, 0.2 ."
"Weighted Moving Average","2025-10",4,0.733,3.267,TRUE,"Weights favor recent observations: 0.5, 0.3, 0.2 ."
"Weighted Moving Average","2025-11",-1.56,3.05,-4.61,TRUE,"Weights favor recent observations: 0.5, 0.3, 0.2 ."
"Weighted Moving Average","2025-12",3.06,1.58,1.48,TRUE,"Weights favor recent observations: 0.5, 0.3, 0.2 ."
"Weighted Moving Average","2026-01",8.46,1.862,6.598,TRUE,"Weights favor recent observations: 0.5, 0.3, 0.2 ."
"Weighted Moving Average","2026-02",0.21,4.836,-4.626,TRUE,"Weights favor recent observations: 0.5, 0.3, 0.2 ."
"Weighted Moving Average","2026-03",3.85,3.255,0.595,TRUE,"Weights favor recent observations: 0.5, 0.3, 0.2 ."
"Weighted Moving Average","2026-04",4.26,3.68,0.58,TRUE,"Weights favor recent observations: 0.5, 0.3, 0.2 ."
"Exponential Smoothing","2024-05",-0.91,4.3422,-5.2522,TRUE,"Level smoothing alpha estimated by HoltWinters: 0.176"
"Exponential Smoothing","2024-06",1.95,4.3422,-2.3922,TRUE,"Level smoothing alpha estimated by HoltWinters: 0.176"
"Exponential Smoothing","2024-07",-1.74,4.3422,-6.0822,TRUE,"Level smoothing alpha estimated by HoltWinters: 0.176"
"Exponential Smoothing","2024-08",-1.56,4.3422,-5.9022,TRUE,"Level smoothing alpha estimated by HoltWinters: 0.176"
"Exponential Smoothing","2024-09",2,4.3422,-2.3422,TRUE,"Level smoothing alpha estimated by HoltWinters: 0.176"
"Exponential Smoothing","2024-10",5.03,4.3422,0.6878,TRUE,"Level smoothing alpha estimated by HoltWinters: 0.176"
"Exponential Smoothing","2024-11",8.88,4.3422,4.5378,TRUE,"Level smoothing alpha estimated by HoltWinters: 0.176"
"Exponential Smoothing","2024-12",-0.39,4.3422,-4.7322,TRUE,"Level smoothing alpha estimated by HoltWinters: 0.176"
"Exponential Smoothing","2025-01",2.74,4.3422,-1.6022,TRUE,"Level smoothing alpha estimated by HoltWinters: 0.176"
"Exponential Smoothing","2025-02",2.7,4.3422,-1.6422,TRUE,"Level smoothing alpha estimated by HoltWinters: 0.176"
"Exponential Smoothing","2025-03",6.91,4.3422,2.5678,TRUE,"Level smoothing alpha estimated by HoltWinters: 0.176"
"Exponential Smoothing","2025-04",-0.45,4.3422,-4.7922,TRUE,"Level smoothing alpha estimated by HoltWinters: 0.176"
"Exponential Smoothing","2025-05",0.23,4.3422,-4.1122,TRUE,"Level smoothing alpha estimated by HoltWinters: 0.176"
"Exponential Smoothing","2025-06",18.82,4.3422,14.4778,TRUE,"Level smoothing alpha estimated by HoltWinters: 0.176"
"Exponential Smoothing","2025-07",-5.66,4.3422,-10.0022,TRUE,"Level smoothing alpha estimated by HoltWinters: 0.176"
"Exponential Smoothing","2025-08",-3.45,4.3422,-7.7922,TRUE,"Level smoothing alpha estimated by HoltWinters: 0.176"
"Exponential Smoothing","2025-09",5.8,4.3422,1.4578,TRUE,"Level smoothing alpha estimated by HoltWinters: 0.176"
"Exponential Smoothing","2025-10",4,4.3422,-0.3422,TRUE,"Level smoothing alpha estimated by HoltWinters: 0.176"
"Exponential Smoothing","2025-11",-1.56,4.3422,-5.9022,TRUE,"Level smoothing alpha estimated by HoltWinters: 0.176"
"Exponential Smoothing","2025-12",3.06,4.3422,-1.2822,TRUE,"Level smoothing alpha estimated by HoltWinters: 0.176"
"Exponential Smoothing","2026-01",8.46,4.3422,4.1178,TRUE,"Level smoothing alpha estimated by HoltWinters: 0.176"
"Exponential Smoothing","2026-02",0.21,4.3422,-4.1322,TRUE,"Level smoothing alpha estimated by HoltWinters: 0.176"
"Exponential Smoothing","2026-03",3.85,4.3422,-0.4922,TRUE,"Level smoothing alpha estimated by HoltWinters: 0.176"
"Exponential Smoothing","2026-04",4.26,4.3422,-0.0822,TRUE,"Level smoothing alpha estimated by HoltWinters: 0.176"
"Trend-Adjusted Exponential Smoothing","2024-05",-0.91,4.24,-5.15,TRUE,"Holt trend model fitted with alpha 0.481 and beta 0.044"
"Trend-Adjusted Exponential Smoothing","2024-06",1.95,4.2454,-2.2954,TRUE,"Holt trend model fitted with alpha 0.481 and beta 0.044"
"Trend-Adjusted Exponential Smoothing","2024-07",-1.74,4.2507,-5.9907,TRUE,"Holt trend model fitted with alpha 0.481 and beta 0.044"
"Trend-Adjusted Exponential Smoothing","2024-08",-1.56,4.2561,-5.8161,TRUE,"Holt trend model fitted with alpha 0.481 and beta 0.044"
"Trend-Adjusted Exponential Smoothing","2024-09",2,4.2615,-2.2615,TRUE,"Holt trend model fitted with alpha 0.481 and beta 0.044"
"Trend-Adjusted Exponential Smoothing","2024-10",5.03,4.2668,0.7632,TRUE,"Holt trend model fitted with alpha 0.481 and beta 0.044"
"Trend-Adjusted Exponential Smoothing","2024-11",8.88,4.2722,4.6078,TRUE,"Holt trend model fitted with alpha 0.481 and beta 0.044"
"Trend-Adjusted Exponential Smoothing","2024-12",-0.39,4.2776,-4.6676,TRUE,"Holt trend model fitted with alpha 0.481 and beta 0.044"
"Trend-Adjusted Exponential Smoothing","2025-01",2.74,4.2829,-1.5429,TRUE,"Holt trend model fitted with alpha 0.481 and beta 0.044"
"Trend-Adjusted Exponential Smoothing","2025-02",2.7,4.2883,-1.5883,TRUE,"Holt trend model fitted with alpha 0.481 and beta 0.044"
"Trend-Adjusted Exponential Smoothing","2025-03",6.91,4.2937,2.6163,TRUE,"Holt trend model fitted with alpha 0.481 and beta 0.044"
"Trend-Adjusted Exponential Smoothing","2025-04",-0.45,4.299,-4.749,TRUE,"Holt trend model fitted with alpha 0.481 and beta 0.044"
"Trend-Adjusted Exponential Smoothing","2025-05",0.23,4.3044,-4.0744,TRUE,"Holt trend model fitted with alpha 0.481 and beta 0.044"
"Trend-Adjusted Exponential Smoothing","2025-06",18.82,4.3098,14.5102,TRUE,"Holt trend model fitted with alpha 0.481 and beta 0.044"
"Trend-Adjusted Exponential Smoothing","2025-07",-5.66,4.3151,-9.9751,TRUE,"Holt trend model fitted with alpha 0.481 and beta 0.044"
"Trend-Adjusted Exponential Smoothing","2025-08",-3.45,4.3205,-7.7705,TRUE,"Holt trend model fitted with alpha 0.481 and beta 0.044"
"Trend-Adjusted Exponential Smoothing","2025-09",5.8,4.3258,1.4742,TRUE,"Holt trend model fitted with alpha 0.481 and beta 0.044"
"Trend-Adjusted Exponential Smoothing","2025-10",4,4.3312,-0.3312,TRUE,"Holt trend model fitted with alpha 0.481 and beta 0.044"
"Trend-Adjusted Exponential Smoothing","2025-11",-1.56,4.3366,-5.8966,TRUE,"Holt trend model fitted with alpha 0.481 and beta 0.044"
"Trend-Adjusted Exponential Smoothing","2025-12",3.06,4.3419,-1.2819,TRUE,"Holt trend model fitted with alpha 0.481 and beta 0.044"
"Trend-Adjusted Exponential Smoothing","2026-01",8.46,4.3473,4.1127,TRUE,"Holt trend model fitted with alpha 0.481 and beta 0.044"
"Trend-Adjusted Exponential Smoothing","2026-02",0.21,4.3527,-4.1427,TRUE,"Holt trend model fitted with alpha 0.481 and beta 0.044"
"Trend-Adjusted Exponential Smoothing","2026-03",3.85,4.358,-0.508,TRUE,"Holt trend model fitted with alpha 0.481 and beta 0.044"
"Trend-Adjusted Exponential Smoothing","2026-04",4.26,4.3634,-0.1034,TRUE,"Holt trend model fitted with alpha 0.481 and beta 0.044"
"Linear Trend Projection","2024-05",-0.91,4.1316,-5.0416,TRUE,"Trend equation: value = -0.5604 + 0.0273 * t."
"Linear Trend Projection","2024-06",1.95,4.1589,-2.2089,TRUE,"Trend equation: value = -0.5604 + 0.0273 * t."
"Linear Trend Projection","2024-07",-1.74,4.1861,-5.9261,TRUE,"Trend equation: value = -0.5604 + 0.0273 * t."
"Linear Trend Projection","2024-08",-1.56,4.2134,-5.7734,TRUE,"Trend equation: value = -0.5604 + 0.0273 * t."
"Linear Trend Projection","2024-09",2,4.2407,-2.2407,TRUE,"Trend equation: value = -0.5604 + 0.0273 * t."
"Linear Trend Projection","2024-10",5.03,4.268,0.762,TRUE,"Trend equation: value = -0.5604 + 0.0273 * t."
"Linear Trend Projection","2024-11",8.88,4.2953,4.5847,TRUE,"Trend equation: value = -0.5604 + 0.0273 * t."
"Linear Trend Projection","2024-12",-0.39,4.3225,-4.7125,TRUE,"Trend equation: value = -0.5604 + 0.0273 * t."
"Linear Trend Projection","2025-01",2.74,4.3498,-1.6098,TRUE,"Trend equation: value = -0.5604 + 0.0273 * t."
"Linear Trend Projection","2025-02",2.7,4.3771,-1.6771,TRUE,"Trend equation: value = -0.5604 + 0.0273 * t."
"Linear Trend Projection","2025-03",6.91,4.4044,2.5056,TRUE,"Trend equation: value = -0.5604 + 0.0273 * t."
"Linear Trend Projection","2025-04",-0.45,4.4317,-4.8817,TRUE,"Trend equation: value = -0.5604 + 0.0273 * t."
"Linear Trend Projection","2025-05",0.23,4.4589,-4.2289,TRUE,"Trend equation: value = -0.5604 + 0.0273 * t."
"Linear Trend Projection","2025-06",18.82,4.4862,14.3338,TRUE,"Trend equation: value = -0.5604 + 0.0273 * t."
"Linear Trend Projection","2025-07",-5.66,4.5135,-10.1735,TRUE,"Trend equation: value = -0.5604 + 0.0273 * t."
"Linear Trend Projection","2025-08",-3.45,4.5408,-7.9908,TRUE,"Trend equation: value = -0.5604 + 0.0273 * t."
"Linear Trend Projection","2025-09",5.8,4.568,1.232,TRUE,"Trend equation: value = -0.5604 + 0.0273 * t."
"Linear Trend Projection","2025-10",4,4.5953,-0.5953,TRUE,"Trend equation: value = -0.5604 + 0.0273 * t."
"Linear Trend Projection","2025-11",-1.56,4.6226,-6.1826,TRUE,"Trend equation: value = -0.5604 + 0.0273 * t."
"Linear Trend Projection","2025-12",3.06,4.6499,-1.5899,TRUE,"Trend equation: value = -0.5604 + 0.0273 * t."
"Linear Trend Projection","2026-01",8.46,4.6772,3.7828,TRUE,"Trend equation: value = -0.5604 + 0.0273 * t."
"Linear Trend Projection","2026-02",0.21,4.7044,-4.4944,TRUE,"Trend equation: value = -0.5604 + 0.0273 * t."
"Linear Trend Projection","2026-03",3.85,4.7317,-0.8817,TRUE,"Trend equation: value = -0.5604 + 0.0273 * t."
"Linear Trend Projection","2026-04",4.26,4.759,-0.499,TRUE,"Trend equation: value = -0.5604 + 0.0273 * t."
"Seasonal Indices","2024-05",-0.91,-0.71,-0.2,TRUE,"Additive monthly seasonal indices estimated from the training data."
"Seasonal Indices","2024-06",1.95,0.27,1.68,TRUE,"Additive monthly seasonal indices estimated from the training data."
"Seasonal Indices","2024-07",-1.74,0.1271,-1.8671,TRUE,"Additive monthly seasonal indices estimated from the training data."
"Seasonal Indices","2024-08",-1.56,-0.1307,-1.4293,TRUE,"Additive monthly seasonal indices estimated from the training data."
"Seasonal Indices","2024-09",2,1.7171,0.2829,TRUE,"Additive monthly seasonal indices estimated from the training data."
"Seasonal Indices","2024-10",5.03,2.3814,2.6486,TRUE,"Additive monthly seasonal indices estimated from the training data."
"Seasonal Indices","2024-11",8.88,2.1307,6.7493,TRUE,"Additive monthly seasonal indices estimated from the training data."
"Seasonal Indices","2024-12",-0.39,2.9057,-3.2957,TRUE,"Additive monthly seasonal indices estimated from the training data."
"Seasonal Indices","2025-01",2.74,4.2464,-1.5064,TRUE,"Additive monthly seasonal indices estimated from the training data."
"Seasonal Indices","2025-02",2.7,3.5573,-0.8573,TRUE,"Additive monthly seasonal indices estimated from the training data."
"Seasonal Indices","2025-03",6.91,2.1973,4.7127,TRUE,"Additive monthly seasonal indices estimated from the training data."
"Seasonal Indices","2025-04",-0.45,2.526,-2.976,TRUE,"Additive monthly seasonal indices estimated from the training data."
"Seasonal Indices","2025-05",0.23,-0.71,0.94,TRUE,"Additive monthly seasonal indices estimated from the training data."
"Seasonal Indices","2025-06",18.82,0.27,18.55,TRUE,"Additive monthly seasonal indices estimated from the training data."
"Seasonal Indices","2025-07",-5.66,0.1271,-5.7871,TRUE,"Additive monthly seasonal indices estimated from the training data."
"Seasonal Indices","2025-08",-3.45,-0.1307,-3.3193,TRUE,"Additive monthly seasonal indices estimated from the training data."
"Seasonal Indices","2025-09",5.8,1.7171,4.0829,TRUE,"Additive monthly seasonal indices estimated from the training data."
"Seasonal Indices","2025-10",4,2.3814,1.6186,TRUE,"Additive monthly seasonal indices estimated from the training data."
"Seasonal Indices","2025-11",-1.56,2.1307,-3.6907,TRUE,"Additive monthly seasonal indices estimated from the training data."
"Seasonal Indices","2025-12",3.06,2.9057,0.1543,TRUE,"Additive monthly seasonal indices estimated from the training data."
"Seasonal Indices","2026-01",8.46,4.2464,4.2136,TRUE,"Additive monthly seasonal indices estimated from the training data."
"Seasonal Indices","2026-02",0.21,3.5573,-3.3473,TRUE,"Additive monthly seasonal indices estimated from the training data."
"Seasonal Indices","2026-03",3.85,2.1973,1.6527,TRUE,"Additive monthly seasonal indices estimated from the training data."
"Seasonal Indices","2026-04",4.26,2.526,1.734,TRUE,"Additive monthly seasonal indices estimated from the training data."
"Additive Decomposition","2024-05",-0.91,2.8753,-3.7853,TRUE,"Additive decomposition used because monthly rate changes can be negative."
"Additive Decomposition","2024-06",1.95,2.8327,-0.8827,TRUE,"Additive decomposition used because monthly rate changes can be negative."
"Additive Decomposition","2024-07",-1.74,2.4537,-4.1937,TRUE,"Additive decomposition used because monthly rate changes can be negative."
"Additive Decomposition","2024-08",-1.56,4.3141,-5.8741,TRUE,"Additive decomposition used because monthly rate changes can be negative."
"Additive Decomposition","2024-09",2,5.02,-3.02,TRUE,"Additive decomposition used because monthly rate changes can be negative."
"Additive Decomposition","2024-10",5.03,5.1196,-0.0896,TRUE,"Additive decomposition used because monthly rate changes can be negative."
"Additive Decomposition","2024-11",8.88,5.4537,3.4263,TRUE,"Additive decomposition used because monthly rate changes can be negative."
"Additive Decomposition","2024-12",-0.39,7.1013,-7.4913,TRUE,"Additive decomposition used because monthly rate changes can be negative."
"Additive Decomposition","2025-01",2.74,6.0594,-3.3194,TRUE,"Additive decomposition used because monthly rate changes can be negative."
"Additive Decomposition","2025-02",2.7,4.7275,-2.0275,TRUE,"Additive decomposition used because monthly rate changes can be negative."
"Additive Decomposition","2025-03",6.91,4.8637,2.0463,TRUE,"Additive decomposition used because monthly rate changes can be negative."
"Additive Decomposition","2025-04",-0.45,2.5756,-3.0256,TRUE,"Additive decomposition used because monthly rate changes can be negative."
"Additive Decomposition","2025-05",0.23,3.2373,-3.0073,TRUE,"Additive decomposition used because monthly rate changes can be negative."
"Additive Decomposition","2025-06",18.82,3.1947,15.6253,TRUE,"Additive decomposition used because monthly rate changes can be negative."
"Additive Decomposition","2025-07",-5.66,2.8158,-8.4758,TRUE,"Additive decomposition used because monthly rate changes can be negative."
"Additive Decomposition","2025-08",-3.45,4.6762,-8.1262,TRUE,"Additive decomposition used because monthly rate changes can be negative."
"Additive Decomposition","2025-09",5.8,5.382,0.418,TRUE,"Additive decomposition used because monthly rate changes can be negative."
"Additive Decomposition","2025-10",4,5.4816,-1.4816,TRUE,"Additive decomposition used because monthly rate changes can be negative."
"Additive Decomposition","2025-11",-1.56,5.8157,-7.3757,TRUE,"Additive decomposition used because monthly rate changes can be negative."
"Additive Decomposition","2025-12",3.06,7.4634,-4.4034,TRUE,"Additive decomposition used because monthly rate changes can be negative."
"Additive Decomposition","2026-01",8.46,6.4214,2.0386,TRUE,"Additive decomposition used because monthly rate changes can be negative."
"Additive Decomposition","2026-02",0.21,5.0895,-4.8795,TRUE,"Additive decomposition used because monthly rate changes can be negative."
"Additive Decomposition","2026-03",3.85,5.2257,-1.3757,TRUE,"Additive decomposition used because monthly rate changes can be negative."
"Additive Decomposition","2026-04",4.26,2.9376,1.3224,TRUE,"Additive decomposition used because monthly rate changes can be negative."
"Regression with Trend and Seasonal Dummy Variables","2024-05",-0.91,1.6498,-2.5598,TRUE,"Regression uses a linear time trend and monthly seasonal dummy variables."
"Regression with Trend and Seasonal Dummy Variables","2024-06",1.95,2.6298,-0.6798,TRUE,"Regression uses a linear time trend and monthly seasonal dummy variables."
"Regression with Trend and Seasonal Dummy Variables","2024-07",-1.74,2.4869,-4.2269,TRUE,"Regression uses a linear time trend and monthly seasonal dummy variables."
"Regression with Trend and Seasonal Dummy Variables","2024-08",-1.56,2.2291,-3.7891,TRUE,"Regression uses a linear time trend and monthly seasonal dummy variables."
"Regression with Trend and Seasonal Dummy Variables","2024-09",2,4.0769,-2.0769,TRUE,"Regression uses a linear time trend and monthly seasonal dummy variables."
"Regression with Trend and Seasonal Dummy Variables","2024-10",5.03,4.7412,0.2888,TRUE,"Regression uses a linear time trend and monthly seasonal dummy variables."
"Regression with Trend and Seasonal Dummy Variables","2024-11",8.88,4.4905,4.3895,TRUE,"Regression uses a linear time trend and monthly seasonal dummy variables."
"Regression with Trend and Seasonal Dummy Variables","2024-12",-0.39,5.2655,-5.6555,TRUE,"Regression uses a linear time trend and monthly seasonal dummy variables."
"Regression with Trend and Seasonal Dummy Variables","2025-01",2.74,6.6062,-3.8662,TRUE,"Regression uses a linear time trend and monthly seasonal dummy variables."
"Regression with Trend and Seasonal Dummy Variables","2025-02",2.7,6.0744,-3.3744,TRUE,"Regression uses a linear time trend and monthly seasonal dummy variables."
"Regression with Trend and Seasonal Dummy Variables","2025-03",6.91,4.7144,2.1956,TRUE,"Regression uses a linear time trend and monthly seasonal dummy variables."
"Regression with Trend and Seasonal Dummy Variables","2025-04",-0.45,5.0431,-5.4931,TRUE,"Regression uses a linear time trend and monthly seasonal dummy variables."
"Regression with Trend and Seasonal Dummy Variables","2025-05",0.23,1.9644,-1.7344,TRUE,"Regression uses a linear time trend and monthly seasonal dummy variables."
"Regression with Trend and Seasonal Dummy Variables","2025-06",18.82,2.9444,15.8756,TRUE,"Regression uses a linear time trend and monthly seasonal dummy variables."
"Regression with Trend and Seasonal Dummy Variables","2025-07",-5.66,2.8016,-8.4616,TRUE,"Regression uses a linear time trend and monthly seasonal dummy variables."
"Regression with Trend and Seasonal Dummy Variables","2025-08",-3.45,2.5437,-5.9937,TRUE,"Regression uses a linear time trend and monthly seasonal dummy variables."
"Regression with Trend and Seasonal Dummy Variables","2025-09",5.8,4.3916,1.4084,TRUE,"Regression uses a linear time trend and monthly seasonal dummy variables."
"Regression with Trend and Seasonal Dummy Variables","2025-10",4,5.0558,-1.0558,TRUE,"Regression uses a linear time trend and monthly seasonal dummy variables."
"Regression with Trend and Seasonal Dummy Variables","2025-11",-1.56,4.8051,-6.3651,TRUE,"Regression uses a linear time trend and monthly seasonal dummy variables."
"Regression with Trend and Seasonal Dummy Variables","2025-12",3.06,5.5801,-2.5201,TRUE,"Regression uses a linear time trend and monthly seasonal dummy variables."
"Regression with Trend and Seasonal Dummy Variables","2026-01",8.46,6.9208,1.5392,TRUE,"Regression uses a linear time trend and monthly seasonal dummy variables."
"Regression with Trend and Seasonal Dummy Variables","2026-02",0.21,6.3891,-6.1791,TRUE,"Regression uses a linear time trend and monthly seasonal dummy variables."
"Regression with Trend and Seasonal Dummy Variables","2026-03",3.85,5.0291,-1.1791,TRUE,"Regression uses a linear time trend and monthly seasonal dummy variables."
"Regression with Trend and Seasonal Dummy Variables","2026-04",4.26,5.3577,-1.0977,TRUE,"Regression uses a linear time trend and monthly seasonal dummy variables."
"Multiplicative Decomposition",NA,NA,NA,NA,FALSE,"Not applicable because the monthly rate-of-change series contains negative values; multiplicative decomposition requires strictly positive values."
